(2701)
4 (272)
5 (417)
6 (362)
10 (543)
11 (1564)
16 (126)
25 (156)
36 (310)
43 (119)
63 (118)
65 (159)
66 (168)
67 (110)
68 (101)
69 (108)
70 (120)
80 (498)
82 (216)
84 (223)
86 (117)
90 (150)
91 (100)
103 (124)
106 (445)
118 (195)
154 (161)
194 (280)
195 (127)
197 (103)
199 (170)
201 (133)
203 (100)
217 (312)
245 (137)
252 (134)
253 (417)
255 (209)
276 (209)
278 (102)
290 (158)
295 (188)
296 (116)
319 (177)
418 (112)
419 (113)
420 (105)
429 (122)
563 (98)
80 203 (98)
11 68 (98)
106 420 (104)
69 70 (108)
10 67 (108)
90 296 (108)
296 319 (122)
255 296 (108)
82 296 (102)
80 296 (151)
11 296 (116)
80 86 (191)
11 63 (118)
11 16 (109)
80 195 (101)
10 195 (103)
11 195 (102)
199 201 (105)
194 201 (111)
80 201 (141)
11 201 (117)
252 319 (99)
217 252 (126)
90 319 (135)
90 255 (125)
82 90 (124)
80 90 (170)
11 90 (143)
80 290 (145)
10 65 (130)
11 65 (104)
154 319 (98)
11 66 (140)
5 199 (106)
80 199 (121)
10 199 (122)
11 199 (131)
255 319 (138)
84 319 (138)
194 319 (136)
217 319 (138)
11 319 (141)
82 295 (106)
80 295 (230)
11 295 (123)
36 118 (101)
11 118 (102)
82 255 (120)
217 255 (121)
80 255 (182)
11 255 (155)
11 276 (158)
80 82 (322)
10 82 (139)
11 82 (139)
84 194 (123)
11 84 (188)
4 194 (125)
4 5 (141)
4 106 (99)
4 80 (105)
4 10 (147)
4 11 (173)
5 194 (112)
80 194 (180)
10 194 (140)
11 194 (258)
11 36 (198)
11 217 (205)
5 6 (167)
6 253 (133)
6 11 (158)
5 106 (110)
5 80 (113)
5 10 (173)
5 11 (232)
106 253 (102)
11 253 (202)
80 (170)
10 80 (321)
11 80 (400)
10 11 (445)
90 255 296 (108)
11 90 296 (108)
11 255 296 (108)
10 80 195 (99)
11 80 195 (99)
10 11 195 (100)
80 199 201 (105)
80 194 201 (111)
11 194 201 (111)
11 80 201 (115)
11 90 255 (125)
5 11 199 (100)
10 80 199 (103)
11 80 199 (98)
10 11 199 (105)
11 84 194 (110)
4 11 194 (124)
4 5 80 (100)
4 5 10 (140)
4 5 11 (140)
4 10 80 (102)
4 11 80 (102)
4 10 11 (144)
5 80 194 (99)
5 10 194 (98)
5 11 194 (110)
10 80 194 (129)
11 80 194 (149)
10 11 194 (136)
5 10 80 (102)
5 11 80 (108)
5 10 11 (163)
10 11 80 (206)
11 90 255 296 (108)
10 11 80 195 (99)
11 80 194 201 (111)
4 5 10 80 (99)
4 5 11 80 (99)
4 5 10 11 (140)
4 10 11 80 (102)
5 11 80 194 (99)
5 10 11 194 (98)
10 11 80 194 (129)
5 10 11 80 (102)
4 5 10 11 80 (99)
